A,B,recent,hist,joined_sh,score,r_ret,h_ret,r_rank,h_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide3m_bd7,core-12m/cross_sector_slide1m_noscreen,0.6377749838307272,-0.7885098557607404,-0.2550396780577817,-0.7885098557607404,0.05319419881269245,-0.0404790466487045,237,481,359.0,481,421,461
core-2m/same_sector_slide3m_bd7,core-12m/cross_sector_slide1m_bd7,0.6999400628822124,-0.3474518106798361,0.04031798351842185,-0.3474518106798361,0.049837792769334574,-0.014645850706455521,209,397,303.0,390,355,338
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide3m_noscreen,0.5924128201542926,0.11588088085881916,0.2724578196338692,0.11588088085881916,0.06510657182883088,0.006036614565962717,260,185,222.5,166,198,190
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide3m_bd7,0.48427719102733946,-0.07369033175847729,0.11421803964565509,-0.07369033175847729,0.03948224479337141,-0.005745031652642063,318,274,296.0,259,344,287
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide1m_noscreen,1.0441463408455376,-0.047264335245260185,0.33686727444882925,-0.047264335245260185,0.09304142097913273,-0.004237437924850429,75,262,168.5,247,106,152
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide1m_bd7,0.6247403101615457,-0.04043802598029669,0.2005345980506442,-0.04043802598029669,0.047339191613377005,-0.002801787595447136,240,258,249.0,243,255,239
core-2m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide3m_noscreen,0.9746390904657327,-0.42373281292405546,-0.06040617249749425,-0.42373281292405546,0.09088687011552579,-0.0429148043838421,97,424,260.5,420,285,392
core-2m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide3m_bd7,1.0171794147351905,0.15693810168554764,0.3641071123707421,0.15693810168554764,0.07951240472214742,0.009066764110773562,87,161,124.0,140,52,131
core-2m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide1m_noscreen,1.12828982858576,0.14481731451930682,0.45668617488526186,0.14481731451930682,0.0908161245461104,0.006842547072342331,46,167,106.5,146,38,86
core-2m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide1m_bd7,0.6779638215425237,0.15451971602539066,0.325928656202848,0.15451971602539066,0.05020960271128585,0.006102346274946102,220,162,191.0,141,138,158
core-2m/same_sector_slide1m_noscreen,core-2m/same_sector_slide1m_bd7,1.0679518206401863,-0.3873068345523871,0.0722704987202,-0.3873068345523871,0.08064997070523652,-0.024245613257011356,69,414,241.5,409,241,318
core-2m/same_sector_slide1m_noscreen,core-2m/cross_sector_slide3m_noscreen,1.013731046197134,-0.4207756385061418,-0.059074299248675244,-0.4207756385061418,0.12208652958550363,-0.06042442194256825,88,420,254.0,416,271,391
